task,task_label,demo_count,run_kind,camera,total_videos,camera_videos,success_mean,success_pct,reward_mean,model_dir,step_dir
lift,Lift,,pi0_droid,0,10,5,0.0,0.0,-97.008,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_cached_lift_224_10832482,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_cached_lift_224_10832482/pi0_cached_lift_224_10832482/step_pi0_eval
lift,Lift,5,ft_24k,0,10,5,0.5,50.0,-72.222,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift5_seed123_47999_224_10832633,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift5_seed123_47999_224_10832633/pi0_ft_lift5_seed123_47999_224_10832633/step_pi0_eval
lift,Lift,10,ft_24k,0,10,5,0.62,62.0,-68.264,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift10_seed123_47999_224_10832634,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift10_seed123_47999_224_10832634/pi0_ft_lift10_seed123_47999_224_10832634/step_pi0_eval
lift,Lift,15,ft_24k,0,10,5,0.8,80.0,-64.164,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift15_seed123_47999_224_10832635,/SAILOR/scratch_dir/rollouts/robomimic__lift/pi0_ft_lift15_seed123_47999_224_10832635/pi0_ft_lift15_seed123_47999_224_10832635/step_pi0_eval
can,Can,,pi0_droid,0,10,5,0.0,0.0,-199.634,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_cached_can_224_10832631,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_cached_can_224_10832631/pi0_cached_can_224_10832631/step_pi0_eval
can,Can,5,ft_24k,0,10,5,0.1,10.0,-180.862,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can5_seed123_47999_224_10832636,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can5_seed123_47999_224_10832636/pi0_ft_can5_seed123_47999_224_10832636/step_pi0_eval
can,Can,10,ft_24k,0,10,5,0.14,14.0,-170.472,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can10_seed123_47999_224_10832637,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can10_seed123_47999_224_10832637/pi0_ft_can10_seed123_47999_224_10832637/step_pi0_eval
can,Can,15,ft_24k,0,10,5,0.28,28.0,-163.046,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can15_seed123_47999_224_10832638,/SAILOR/scratch_dir/rollouts/robomimic__can/pi0_ft_can15_seed123_47999_224_10832638/pi0_ft_can15_seed123_47999_224_10832638/step_pi0_eval
square,Square,,pi0_droid,0,10,5,0.0,0.0,-199.512,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_cached_square_224_10832632,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_cached_square_224_10832632/pi0_cached_square_224_10832632/step_pi0_eval
square,Square,50,ft_24k,0,10,5,0.0,0.0,-181.55,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square50_seed123_47999_224_10832639,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square50_seed123_47999_224_10832639/pi0_ft_square50_seed123_47999_224_10832639/step_pi0_eval
square,Square,75,ft_24k,0,10,5,0.0,0.0,-172.89,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square75_seed123_47999_224_10832640,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square75_seed123_47999_224_10832640/pi0_ft_square75_seed123_47999_224_10832640/step_pi0_eval
square,Square,100,ft_24k,0,10,5,0.0,0.0,-169.33,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square100_seed123_47999_224_10832641,/SAILOR/scratch_dir/rollouts/robomimic__square/pi0_ft_square100_seed123_47999_224_10832641/pi0_ft_square100_seed123_47999_224_10832641/step_pi0_eval
